btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,sp500_close_30,class_y0
20568.1034418,113.012,110.5233333333,41.6666666667,2.8603854849,0.1195856652,-0.9896401499,0.199229909,2.8322380641,113.16,1587.597311828,0
13842.39501487,112.88,112.8366666667,41.6666666667,-0.1175531036,-1.0087571571,-0.2225494536,0.8830649427,-1.0661081786,111.96,1590.538172043,1
24322.53013367,113.146,113.7166666667,41.6666666667,0.2268971322,1.1254664822,2.3118813917,2.0517030555,5.1695142896,117.9,1593.6698924731,0
19630.4251668,113.612,113.4616666667,33.3333333333,0.4092349144,1.1199882045,0.5492382513,1.3569114663,-2.4556913571,115.58,1596.7010752688,0
16263.72213213,114.512,113.76,33.3333333333,0.801889144,0.294301914,0.7477719449,-1.4630992275,-0.4705070978,115.05,1599.6424731183,1
19675.76336655,115.078,114.7583333333,41.6666666667,0.4940246812,0.8840578962,-0.5444275683,0.4112043261,1.2929157499,115.98,1602.5623655914,0
7555.75552755,114.086,113.7316666667,41.6666666667,-0.9062566037,-2.425199327,-2.415035317,-3.3872994266,-8.0675146032,107,1606.4903225807,1
18470.27382235,112.296,113.23,50,-1.5789549231,-1.3597708146,-1.6561920535,-3.1307459552,1.8060226929,108.96,1610.6795698925,1
25986.03548492,111.958,112.4716666667,50,-0.2959903404,-0.252361151,-0.7674534513,2.8825771246,3.9591315563,113.36,1614.2274193548,1
35707.39638013,112.404,112.7533333333,50,0.3857750534,0.1589898793,2.9011580401,3.4487257137,2.9383198711,117.51,1618.5725806452,1
39613.62728197,112.904,113.4183333333,58.3333333333,0.4264917667,2.5499933592,2.7979835813,2.2174095938,1.4964993164,118.49,1622.6661290323,0
34813.26585005,114.78,113.4833333333,58.3333333333,1.6806372953,1.6492909459,0.8793440758,-0.1501438218,-1.79678696,117.27,1626.4822580645,1
39354.57573599,116.3,115.075,58.3333333333,1.3486260818,0.6959997132,-0.0514403394,-0.8254101673,0.1459666253,117.81,1630.1467741936,1
43010.83045919,117.13,116.5,66.6666666667,0.7191591326,0.164368948,-0.2796745081,0.4788817178,0.8117968102,117.25,1633.6241935484,1
50286.43517097,117.606,117.46,66.6666666667,0.4036772046,0.1304716766,0.7728912221,1.0863535206,1.3609102309,118.45,1636.2026881721,1
60499.23063217,118.676,118.645,75,0.8832368203,1.5532427653,2.022334812,2.6276038129,3.8942973949,123.84,1638.2123655914,1
73692.81266647,121.14,120.3466666667,83.3333333333,2.0124683075,2.479093728,3.0348593673,3.8718339355,3.8493704761,128.65,1640.0897849462,1
78839.51786522,123.624,122.445,83.3333333333,2.0251890739,2.3285371398,2.6510794428,2.0294704667,0.2095704574,128.98,1641.8026881721,1
82755.58254037,126.024,124.6033333333,91.6666666667,1.9448509511,2.0908361312,1.4896823766,0.3098383269,0.4101061963,130.27,1643.3677419355,0
75341.77073471,127.452,126.0616666667,83.3333333333,1.1643326453,0.4818414579,-0.6406682149,-1.065787551,-2.5416812984,126.2,1644.8994623656,0
69269.01293003,127.868,127.1966666667,75,0.3331274966,-0.5459332483,-0.7977678169,-1.4017048235,-0.2617283486,125.99,1646.4001075269,1
79215.85216728,128.198,128.2816666667,75,0.2547805155,0.2660830301,0.218075308,1.5979536112,3.457635571,130.01,1647.249139785,0
69783.49603557,127.766,127.9666666667,66.6666666667,-0.3377983186,-0.5247744473,0.1475278364,0.3521559289,-2.7533237133,126.78,1648.3911827957,1
75417.44453171,127.448,127.79,75,-0.2470797906,0.3265705864,0.5226702314,-0.9448124384,0.8636988364,127.76,1647.8208602151,1
78823.92970507,127.952,127.6683333333,75,0.3952759826,0.5595270654,-0.4065091031,0.7668982019,0.6700975674,128.77,1647.1392473118,0
