btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_low_30,btc_close_30,trfee_value_30,sp500_close_30,google_trend_3,wikipedia_trend_2,wikipedia_trend_3,class_y0
175188.63293432,124.306,124.1333333333,58.3333333333,0.5883247317,0.8655404094,0.8213804214,1.4789247614,1.6760390748,126.95,121.7,124.2046451613,122.0221935484,124.4388387097,51.5748576656,1692.3275913979,6,7292,6212,0
168868.37457,125.088,124.6783333333,50,0.6277354389,0.5351642052,0.8781216932,0.6762773158,-0.3234844432,126.5,122.35,124.3923225806,122.1863655914,124.5740860215,50.4054260139,1692.8626021505,6,5907,7292,1
175613.76907444,125.718,125.4083333333,50,0.5022785601,0.7512752648,0.5744302038,0.0236257683,0.3707359797,127,121.54,124.5315268817,122.4690107527,124.7223655914,48.7503430543,1693.2906236559,6,4707,5907,0
164083.24435564,126.318,125.8066666667,41.6666666667,0.4809851047,0.2807787688,-0.1843079998,-0.1147197782,-0.6001755361,126.25,121.77,124.6866666667,122.5208172043,124.8169892473,47.5488804034,1692.8095053764,6,5406,4707,1
171597.07931644,126.816,126.4866666667,50,0.3949844837,0.0747208359,0.2074559289,0.1258159035,0.851807343,127.31,123.23,124.7888172043,122.7556989247,124.9850537634,47.0078389013,1693.2197849462,6,6682,5406,0
110957.69032944,122.196,122.9883333333,50,-4.0169151566,-4.9402728349,-6.7106091065,-9.7658258917,-20.3834591263,103.85,123,124.9629032258,120.3777849462,123.6454408602,46.4030479594,1693.0854408602,6,6454,6682,1
137070.45420054,120.414,121.435,50,-1.4602871749,-1.9180429636,-2.3573321061,-3.9619018306,12.459655465,117.62,124.35,123.6306236559,119.1902365591,123.2514193548,46.1440644589,1692.0157204301,6,20338,6454,1
150265.03015484,119.4,120.6683333333,58.3333333333,-0.8147340607,-0.8683736919,-1.4417673702,8.0290785079,3.5985015507,121.94,124.01,123.2416774194,118.9906451613,123.1603010753,45.4238336317,1691.8476129032,6,49212,20338,0
147322.39414353,118.39,119.7,58.3333333333,-0.8164398904,-1.2335016988,5.1498174438,1.4948984331,-0.6087046844,121.25,126.08,123.156344086,119.0870322581,123.023311828,44.243567418,1691.6123010753,6,26432,49212,1
151248.73546243,117.422,119.0733333333,58.3333333333,-0.7750549517,4.1270460919,1.3495096342,0.225013676,1.0587320364,122.49,122.77,123.0258709677,119.1738709677,122.972344086,42.7742496125,1691.3087096774,6,15888,26432,1
163133.87006263,121.352,118.435,66.6666666667,3.4658721149,1.2174262774,0.4237345196,0.9399541216,0.8211762068,123.5,125.54,122.9770107527,119.182172043,122.976172043,42.0393340887,1689.841139785,6,11907,15888,1
176317.24391153,122.652,121.815,66.6666666667,1.0757059711,0.4450070762,0.7962443298,0.6650004764,0.508824746,124.5,85,122.9805591398,119.3134623656,123.0129677419,40.2072885569,1687.2300215054,6,14552,11907,1
195251.00517463,123.444,123.1933333333,66.6666666667,0.6391764114,0.9511466854,0.9152849017,0.9623392491,1.4158537522,125.79,102,123.0409032258,119.4398709677,123.1515053763,38.9668230439,1684.5124516129,6,13394,14552,1
206633.15144413,124.564,124.0033333333,75,0.9033793674,0.8645412001,0.8789961978,1.0640819238,0.7123100953,126.8,116.48,123.1712903226,119.7183225806,123.3390322581,38.0339563219,1684.177139785,6,12973,13394,1
214499.85635236,125.542,125.0333333333,75,0.7829070189,0.7733397219,0.8615113805,0.5843401946,0.456370294,127.38,121.11,123.358,120.0544086022,123.5538064516,37.0156817314,1684.7396774194,6,10466,12973,1
222071.1292156,126.438,125.9483333333,83.3333333333,0.7126569129,0.7636149546,0.546202022,0.4631479854,0.4699256768,127.58,121.13,123.5719784946,120.3786021505,123.807655914,36.2291523332,1685.280172043,6,8126,10466,1
234645.2770254,128.176,127.5016666667,83.3333333333,1.3533084917,1.3376721766,1.5461262036,2.0910041585,3.7120826401,132.83,120.11,123.7992043011,120.7971827957,124.3703225806,35.3587913891,1685.7905591398,6,5717,8126,1
255901.5575973,130.08,129.3833333333,91.6666666667,1.4578623801,1.6442504514,2.0402105038,2.8253529173,1.9386231945,135.43,122.17,124.3625591398,121.4961505376,125.0897419355,34.065722978,1686.6170752688,6,5841,5717,1
278133.6367099,133.272,132.1933333333,91.6666666667,2.3710771324,2.849753842,3.643029897,3.6085035255,5.2783838564,142.75,122.3,125.0826451613,122.3107096774,126.2592043011,34.19266036,1686.6193978495,6,7550,5841,0
251800.7403932,135.308,133.9866666667,83.3333333333,1.5377088124,1.8046545963,1.1688452484,0.7839562753,-3.7104713058,137.54,124.9,126.2514623656,123.3136774194,127.0557634409,33.6240002653,1687.9851612903,6,8873,7550,1
268567.7928729,138.5,136.7466666667,91.6666666667,2.3504508874,2.0100429492,2.0338495341,0.4115823729,4.5336360516,143.94,125.93,127.0467526882,124.1343870968,128.239655914,33.211817815,1690.2536129032,6,8958,8873,1
291575.0238488,142.514,140.8983333333,91.6666666667,2.8144776092,3.0334412129,2.2851269984,5.2829261504,6.0322162493,152.89,126.01,128.2307311828,125.4655698925,129.9643655914,33.2997452696,1693.037655914,6,8077,8958,1
329542.0064892,148.63,146.4283333333,91.6666666667,4.072134566,3.7705722434,6.2642534264,7.1295621138,8.2269079784,166,127.57,129.9555268817,127.3500215054,132.4792043011,33.3145832126,1695.7958924731,11,9319,8077,1
335209.35237081,153.396,151.6233333333,91.6666666667,3.087416106,4.7868879589,4.8713052614,4.2908497675,0.3547915565,166.6,132,132.4704516129,129.8228172043,134.942172043,32.9805291963,1698.5277849462,11,6184,9319,1
368317.07348101,161.91,157.8516666667,91.6666666667,5.3923725374,5.6070566589,5.4653367954,4.0845512039,7.8143108514,180.15,134.09,134.9341290323,132.4330752688,138.1847526882,33.2402950899,1701.3454623656,11,6250,6184,1
410182.14063571,171.072,166.55,91.6666666667,5.5262174039,5.3997176926,4.4573209306,6.5085856177,5.202860384,189.74,137.38,138.1780645161,135.7834408602,141.9259569892,33.7896016301,1704.8580645161,11,8025,6250,1
434508.15539061,181.286,176.5533333333,91.6666666667,5.7641037523,5.1484026958,6.7462730755,6.2122541876,7.2216479911,203.94,135,141.9186236559,139.3990752688,146.4409677419,33.9859560981,1707.8155913979,11,8930,8025,0
378914.22838431,186.86,183.3833333333,83.3333333333,3.1040008599,3.7913031857,2.4503006305,1.0740207538,-5.0736064836,194,143.23,146.4323655914,141.020172043,150.1301075269,34.9940879374,1711.1032258065,11,11023,8930,0
346134.68547731,190.862,186.8166666667,75,2.2686316898,0.8822118994,-0.5580042621,-4.4478303887,-3.8220542938,187.5,152.44,150.130344086,143.3072258065,153.199655914,35.802374503,1714.6252688172,11,9881,11023,0
336490.36475832,190.748,188.9783333333,66.6666666667,-0.0633879704,-1.3799500591,-4.2471494091,-3.8339208719,-3.84578745,180.39,162.54,153.2578924731,146.1006451613,155.6787741935,37.0221494576,1718.0005376344,8,10653,9881,1
346585.93059242,191.598,191.29,66.6666666667,0.4430148558,-1.2516434281,0.0223442571,1.9445435325,7.734874515,194.99,166.05,155.7887096774,148.9392258065,158.971827957,37.565532735,1721.2435483871,8,15668,10653,1
358834.59515212,190.13,192.435,75,-0.733019285,0.3521275147,1.7435214509,4.5381759013,1.3414772875,196.62,179,159.1420215054,152.3882365591,162.2897204301,38.1738215234,1724.6639784946,8,18528,15668,1
375579.10164282,192.294,192.5566666667,75,1.0861761629,2.3132337771,4.3662408527,2.6819240216,4.0223707557,204,185,162.454172043,155.9852258065,165.9775483871,37.6123673924,1728.4768817204,8,18524,18528,0
350084.95357282,194.482,193.1683333333,66.6666666667,1.1394761413,2.3857920392,0.6027645472,0.2334081771,-3.5555544015,197.58,156.2,166.091655914,159.4126666667,169.0370322581,37.8074155634,1731.6639784946,8,43895,18524,1
363826.44431942,199.278,195.9916666667,66.6666666667,2.507062637,1.2001096675,1.1529871275,-0.2817046866,2.9921450284,203.54,167.67,169.1493548387,162.6912258065,172.3303010753,37.4569394164,1734.0526881721,8,74322,43895,0
358863.63531771,200.908,199.7566666667,58.3333333333,0.8230367405,0.6934266037,-0.416221447,1.1534450303,-0.6852549677,202.14,177,172.438172043,166.1511612903,175.37,37.4656464262,1736.5510752688,8,113274,74322,1
365463.73357711,202.556,201.5666666667,58.3333333333,0.8210777414,0.0207544878,1.2128574509,0.3232136622,1.3316822922,204.86,179.5,175.4727311828,169.4258709677,178.3731397849,36.7303288468,1738.8951612903,8,26650,113274,1
376691.69653681,203.618,203.7966666667,58.3333333333,0.5122178244,1.5291608809,1.0414994985,1.9048767315,2.4780711709,210,190.8,178.4713978495,172.6362795699,181.5203010753,36.1016704257,1741.0564516129,8,18769,26650,1
404953.48468521,209.476,207.4866666667,58.3333333333,2.7651948552,2.7084573119,3.8396947384,5.0937009615,7.7093307521,227.29,195.32,181.6140645161,175.8988817204,185.5638924731,38.22728032,1743.5994623656,8,15443,18769,1
447537.18551391,217.348,215.0466666667,66.6666666667,3.5357458049,4.590995998,5.6774339,7.2771152645,6.844899777,242.9,195,185.6828387097,180.1879139785,190.4170967742,38.9596476628,1745.5548387097,8,25913,15443,1
487563.89238161,229.566,224.9966666667,75,5.28112335,6.2684836145,7.531954429,7.4432662675,8.041632758,263.24,195.1,190.5306666667,185.2262580645,196.3236129032,44.2336389354,1747.9365591398,8,27715,25913,1
537267.74418281,246.794,239.805,83.3333333333,7.0199289633,8.1553934114,8.3040809644,9.0336715582,10.0257103584,291,200.23,196.4318064516,191.4321290323,203.7205806452,49.2877203733,1748.8016129032,8,31321,27715,1
577453.90282611,271.594,261.3283333333,83.3333333333,9.2806692452,9.6735038685,10.616371899,11.9037414694,13.7817725805,333.9,201.2,203.8233978495,198.9843010753,213.5328817204,53.5027395885,1750.8016129032,8,26683,31321,1
621815.11460561,294.476,283.2016666667,83.3333333333,8.167704076,8.4984051508,8.6506626151,7.9631387435,2.1445049064,341.24,203.51,213.6246666667,206.8325806452,223.3647526882,56.1262862981,1752.5494623656,10,26376,26683,0
554577.70712421,310.496,299.23,75,5.7000497443,5.1146539909,3.4776352017,-1.6744334877,-5.4933718818,323,207.22,223.4519354839,212.1168817204,231.558688172,56.4470907736,1754.1231182796,10,24980,26376,1
581521.08536811,326.63,316.065,83.3333333333,5.346276633,4.1764182016,0.9746334086,0.3896976598,6.2727672013,343.63,226,231.6412688172,220.0111182796,240.6809677419,57.3303571847,1755.6494623656,10,21813,24980,1
601269.36686991,339.422,331.3516666667,83.3333333333,3.973636798,1.5216028523,1.3139688343,4.7176391924,3.1625111835,354.94,241.11,240.7408817204,229.4391397849,250.0517849462,55.4455718705,1756.8672043011,10,22110,21813,1
639959.16880181,351.322,348.435,91.6666666667,3.2788014976,3.5623756454,6.5809581545,6.7350536311,10.3075960787,393.5,263.24,250.1055483871,239.3735268817,261.4313333333,53.8551439906,1758.8301075269,10,26058,22110,1
671597.64624461,366.464,362.26,91.6666666667,4.0076053699,6.3828496828,6.4195438432,8.0480601731,5.7885242676,416.88,288.81,261.4803010753,250.5097634409,273.7687741935,52.2430078245,1761.2134408602,10,27661,26058,0
639274.44000651,384.264,374.0533333333,83.3333333333,4.8674205225,4.5160838528,4.9672747426,2.2971140746,-1.1942961183,412.07,298.95,273.8084516129,261.695655914,285.1972043011,50.3340272294,1763.761827957,10,28400,27661,1
657257.90004561,402.388,392.6416666667,83.3333333333,4.6776998393,5.0564970033,3.3061306448,2.0649338334,5.3241637852,434.53,265.01,285.2367526882,273.4298924731,297.4889892473,48.262393729,1766.1376344086,23,33242,28400,1
683249.49521991,426.872,414.8866666667,83.3333333333,5.9261542473,4.8307937895,4.5115502968,7.3644735044,9.4047832236,478.1,310.1,297.5236989247,286.3606451613,311.9203655914,46.2207917056,1768.3720430108,23,24432,33242,1
740338.57417371,481.974,467.2283333333,83.3333333333,10.6143587968,11.8208174292,16.1591886117,21.5767010249,33.7486188263,669,340.01,311.996688172,301.032688172,338.0171397849,44.9008746974,1770.1774193548,23,21905,24432,0
668777.62820661,505.786,490.98,75,5.0237301416,6.5782367066,6.9962610137,5.7919999088,-22.1646190086,536.01,354.94,338.0864301075,309.0043225806,354.4515268817,44.0726147962,1771.6446236559,23,63159,21905,1
726489.13542781,543.186,521.3216666667,75,7.4847649753,8.0249152729,7.5649592893,-5.5268704792,11.1108780502,600,381,354.5144516129,320.5126021505,374.1553333333,42.7593771076,1772.6521505376,23,103952,63159,1
757209.86672191,600.28,572.655,75,10.0997244962,10.2734598143,2.4484068103,14.7549197198,18.3989613895,720,390,374.2764301075,340.4878709677,400.7647956989,41.5610871054,1774.473655914,23,67059,103952,1
782334.99518581,663.804,632.7333333333,83.3333333333,10.2005859043,4.3135776739,13.1396432347,14.1540258269,9.9090902644,794,406.92,400.8774408602,366.234172043,431.0726451613,40.2040179653,1776.6838709678,23,59865,67059,1
802673.85979891,695.832,691.3616666667,83.3333333333,4.2920414392,10.9062065512,10.8379827182,7.0574933825,4.2058965006,829.15,434.53,431.1123010753,397.4768172043,462.3126666667,38.7621829483,1778.7661290323,22,59388,59865,0
782543.17231021,748.64,713.2016666667,75,8.010428162,7.23531569,3.5141004568,0.316605553,-3.5726853945,800.01,471.23,462.3459569892,424.9155913979,490.3090752688,37.1029634432,1780.7349462366,22,36534,59388,1
805585.22463551,792.416,760.18,75,6.2290805692,3.1866103641,0.9457837307,-0.6842726543,2.204140086,811.95,378,490.3336989247,452.5988172043,518.1365591398,35.6162684375,1782.6827956989,22,32395,36534,1
835378.24972371,831.676,813.0633333333,75,4.8218521992,3.5500426829,3.3314247437,6.7834798128,11.3628195396,915.01,440,517.7745376344,481.0001075269,550.9409892473,34.511892659,1784.4940860215,22,37224,32395,1
865703.77946771,865.472,853.7266666667,83.3333333333,3.8545686571,3.7667366962,6.2132107264,8.2177460466,5.0726725536,963.98,580.37,550.5062150538,513.1609677419,585.2682150538,33.7133617046,1786.347311828,22,41532,37224,1
902602.37311321,902.238,890.0566666667,83.3333333333,4.0050136211,5.8994383751,7.1312044714,5.0153969373,4.958121321,1012,683.2,584.8488172043,547.1306666667,621.1064946237,33.2613167512,1788.3225806452,22,72185,41532,1
924475.68646011,968.626,940.53,83.3333333333,6.9411639817,8.1254199557,7.046286761,8.0330938647,11.1080664085,1131.99,785,620.6392473118,583.2098709677,662.8845806452,32.3388639779,1789.9760215054,22,126577,72185,0
911568.12736871,1028.954,993.775,75,6.2787934885,5.0077869757,4.9861584497,5.000177014,-1.1077123804,1119.52,747,662.4333333333,623.504516129,701.8485806452,31.1906918235,1791.5359139785,24,108657,126577,0
850023.74654771,1036.694,1016.6283333333,75,0.8273503702,-0.2339801757,-1.9646806745,-8.5010542161,-15.8943960517,955,770.1,701.4134193548,643.5477634409,728.2285376344,29.7824387265,1792.981827957,24,80660,108657,1
881540.47185601,1053.392,1038.49,75,1.6612492852,0.8370312763,-2.5866471011,-3.3261144615,9.2421671287,1037.11,801,727.8094623656,670.6693548387,758.9552688172,28.5364914545,1794.0476344086,24,49472,80660,1
894108.06353461,1061.796,1053.66,75,0.8128857039,-1.7609094723,-1.9786418362,4.9792352715,0.7163034142,1055,879.99,757.8838709677,701.0624301075,788.3557419355,27.4423259714,1794.4844086022,24,75148,49472,1
908541.57331671,1061.8,1073.4983333333,75,0.0003533569,0.2773697912,5.6679584055,3.8808540439,7.0454046736,1135,931,787.322688172,733.1039139785,820.9073978495,26.3084870969,1794.8582795699,24,72836,75148,0
853278.91632711,1042.67,1055.4783333333,66.6666666667,-1.7862091316,1.7408375984,-0.7596055784,-1.4975600747,-10.0405248231,1020.51,988.22,820.1055913979,750.1878064516,844.535655914,25.3290026206,1794.6703225807,24,57778,72836,0
800590.25458291,1014.652,1004.71,66.6666666667,-3.1726732557,-6.2763833518,-8.6072789405,-16.4336207476,-22.826716672,809.72,1080,843.5499784946,762.5983225806,853.0031182796,24.1841989185,1795.7780645161,24,90777,57778,0
720737.83079991,943.818,961.0933333333,58.3333333333,-8.2534041164,-10.495830999,-16.3429095566,-19.4941019233,-16.1614871747,693.3,795.6,851.7227311828,757.4042795699,852.4383870968,23.3779620049,1796.8008602151,54,90379,90777,1
748202.91350951,890.218,917.6816666667,58.3333333333,-5.8613559499,-9.0880461057,-8.7705531999,-1.7424714639,12.6765442469,787,925.16,851.2092903226,758.6176774194,857.053655914,23.5463628233,1797.6951612903,54,65373,90379,1
776712.95223991,843.796,891.8316666667,58.3333333333,-4.5893289321,-3.2265299594,3.3068656115,13.0410420046,13.4055397623,899.91,1000,855.8758494624,766.5141075269,867.9786021505,22.6163087817,1798.763655914,54,44542,65373,1
799407.63217321,834.868,866.3683333333,58.3333333333,-0.8915659174,4.5922217712,11.5101247532,10.9269150063,8.4482902504,979.07,1052.1,866.852516129,781.6853548387,882.8201935484,22.3060572095,1799.3525806452,54,54529,44542,0
767699.25014191,847.694,842.23,50,1.5150545042,5.934189924,3.686738483,-1.1726621566,-10.7936145637,879.04,848.42,881.7348387097,789.6301505376,889.7866666667,21.9183660475,1798.4264516129,54,54627,54529,0
753725.72600761,883.278,851.615,50,4.568634445,2.5416569945,-1.0796372615,-5.8436010174,-0.8935874711,871.22,796.73,888.7527096774,798.3198924731,895.0978064516,21.4457643766,1797.1008602151,54,54627,54627,1
768492.67708631,903.074,883.7283333333,58.3333333333,2.3693225714,-0.3897317263,-3.3357390519,0.393198704,1.679984879,888.47,542.38,894.1146451613,807.1122150538,900.2509677419,20.9872204352,1795.7376344086,54,47480,54627,0
761066.12505169,893.25,894.3583333333,50,-1.1226014055,-3.5153243195,-1.0892275715,-1.1870476217,-4.0540801224,850.78,651,899.4792043011,814.2598924731,902.0740645161,20.437456187,1794.3830107527,65,45616,47480,1
772704.12545869,869.804,888.0416666667,50,-2.5502255576,-0.4893783061,-0.3546419178,-1.3719553162,1.3101694901,861.98,766.66,901.3476989247,817.9989462366,903.6880645161,19.7850583445,1793.056344086,65,38511,45616,0
713897.42135469,832.196,840.0033333333,41.6666666667,-4.8138115828,-5.7938676107,-8.285151774,-10.4006875997,-22.1115446896,690.5,895.01,903.005655914,811.031311828,893.3020645161,19.3251265105,1792.5280645161,65,43406,38511,0
670863.39299529,792.676,805.7666666667,41.6666666667,-5.14456749,-6.8507055822,-7.7829140688,-12.3294558482,-2.5473670069,675,804,892.6328387097,801.0328817204,881.2432258065,19.0110354908,1791.5470967742,65,51107,43406,0
