btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_high_30,btc_low_30,btc_close_30,sp500_close_30,google_trend_2,google_trend_3,wikipedia_trend_2,class_y0
2717.89957538,103.83,103.22,33.3333333333,-0.2329577498,-1.2820798587,-2.6988939363,-3.6743675829,-2.975195815,99.01,108.44,116.4340430108,118.6329032258,111.0006666667,115.2034193548,1635.6126881721,10,10,11040,1
6961.30729343,102.87,103.095,33.3333333333,-0.9430149763,-1.9208593139,-2.3118302042,-1.2809756309,0.4132445532,99.43,90,115.1825806452,117.6235698925,109.8429892473,114.0036129032,1634.4412903226,8,10,10284,0
3871.57266552,101.272,102.2866666667,33.3333333333,-1.5467483196,-1.7464487387,-0.870751868,0.1814701054,-0.0503043423,98.74,93.1,113.9796129032,116.3812258065,108.8262365591,112.8305376344,1633.3209677419,8,10,7037,1
8657.33868579,99.96,101.06,33.3333333333,-1.2707604161,-0.4950656824,0.3316443618,0.2908442661,0.6319928745,100.39,102.97,112.7620860215,115.1987741935,107.8600645161,111.7354408602,1633.2839784946,8,10,7029,1
19532.08198269,100.46,100.7166666667,41.6666666667,0.4842851624,1.3491554068,1.6611256913,2.5168407081,4.4016885417,104.49,105.01,111.6913763441,114.4859569892,107.0416344086,110.9704301075,1634.0227956989,8,10,8737,1
25015.61771524,101.706,101.2566666667,50,1.2204520208,1.4222538876,1.913106631,2.5536635092,0.7056384767,105.24,95,110.9241075269,113.7524946237,106.3832258065,110.2787096774,1633.4003225807,8,10,10414,0
15927.09223957,102.344,101.8566666667,50,0.6316418642,0.8021284158,0.8588402629,-0.9125838765,-2.5308062298,103,95,110.2327096774,113.0758924731,105.7810107527,109.4416344086,1630.3369892473,8,10,9736,0
3595.42923857,102.83,102.2533333333,50,0.4831969375,0.4459979532,-0.8725655763,-1.6616676028,-0.7925289758,101.29,96.22,109.423827957,112.2194193548,104.405311828,108.5843225806,1628.0433333333,8,10,9809,0
245.10366726,102.83,102.3583333333,41.6666666667,0,-1.1004221354,-1.7024423395,-1.2882603943,-1.7839918128,100,98,108.5352688172,111.2743870968,103.6392903226,107.6481075269,1625.8691827957,8,8,9359,1
2222.49637345,102.012,102.4266666667,41.6666666667,-0.7985053503,-1.174541307,-0.7224529994,-0.6874150113,0.4091617903,100.4,98.29,107.6003870968,110.2743010753,102.9126451613,106.7896129032,1623.8027096774,8,8,7109,0
