btc_sma10_1,btc_wma_10_1,btc_mom_1,btc_stcK_1,btc_stcD_1,btc_rsi_1,btc_macd_1,btc_lw_1,btc_ao_1,btc_cci_1,btc_open_0,class_y0
96.168,100.9136363636,43.15,38.0470280862,33.9896115206,55.0492972857,8.5704786732,61.9529719138,0.7783505155,-0.3836279124,126.55,0
99.709,105.0303636364,8.91,34.4359428945,35.4685701844,53.0898164937,7.8272393465,65.5640571055,0.0875,-13.5147339112,118.91,1
101.093,109.3996363636,32.1,36.7360268732,36.406332618,54.2078904318,7.3545682157,63.2639731268,0.6881243063,-5.643655972,123.73,1
105.658,115.9809090909,46.18,43.0577587011,38.0765761563,57.2255152224,7.2756819775,56.9422412989,0.8523943662,13.5316506984,137.3,1
111.447,123.8612727273,75,77.6119402985,52.4685752909,59.6973019274,7.6179912881,22.3880597015,0.9112221368,43.1649439221,150,0
118.237,129.3981818182,73.81,77.346743295,66.0054807649,57.5266922018,8.0757140925,22.653256705,0.4519966015,39.8945084101,141.9,0
125.158,132.8641818182,47.32,72.6261620186,75.861615204,56.1033798029,8.4899847539,27.3738379814,0.0397476341,21.8658099719,137.3,0
129.04,133.5263636364,19.5,65.5710491368,71.8479848168,53.47073215,8.700340773,34.4289508632,0.4949671772,25.4470553959,128.8,1
131.638,134.6609090909,17.57,70.9495351926,69.715582116,55.1967833418,8.8554146135,29.0504648074,0.7282976325,37.2563927046,135.31,1
134.198,136.7830909091,16.76,77.6145418327,71.3783753873,57.3101613753,9.0756401075,22.3854581673,0.5911881546,72.376599525,143.32,0
135.531,137.8161818182,21.07,72.4338048604,73.6659606285,56.0930226102,9.249747945,27.5661951396,0.1513513514,80.2680768798,139.87,0
135.325,134.4014545455,-6.99,41.4076182137,63.8186549689,48.5976993291,8.9957154207,58.5923817863,0.0118644068,10.8658519879,116.75,0
133.632,129.2169090909,-30.48,17.8594538631,43.9002923124,45.7673948805,8.3075596671,82.1405461369,0.3064563249,-30.6988896146,107.02,0
129.711,122.7529090909,-50.92,18.6753773372,25.9808164713,43.3779396018,7.2251614853,81.3246226628,0.0449056604,-80.3364453299,98.08,1
126.073,119.6454545455,-29.28,35.0529398513,23.8625903505,48.2262169881,6.167910492,64.9470601487,0.8114602588,-44.0453989988,112.89,1
123.54,117.9176363636,-20.73,39.5021401216,31.0768191034,49.4914885091,5.2308061406,60.4978598784,0.5008156607,-30.1477144681,116.9,0
121.081,115.9485454545,-16.09,35.1543140347,36.5697980026,48.2505479597,4.3446258245,64.8456859653,0.3900896152,-46.7598704911,112.67,0
119.201,113.9338181818,-25.28,32.1018247353,35.5860929639,47.3528438853,3.4836799954,67.8981752647,0.0169252468,-92.3763073829,110.92,1
116.989,112.8354545455,-30.15,35.6611849516,34.3057745739,48.5547720647,2.7261587999,64.3388150484,0.914244186,-64.7721841001,113.16,0
113.854,111.9210909091,-27.92,43.4212401996,37.0614166288,48.1056355091,2.0478139074,56.5787598004,0.1595959596,-67.9002915421,111.96,1
111.656,112.6567272727,1.15,51.8888096935,43.6570782816,50.5443035605,1.5447569965,48.1111903065,0.7439703154,-41.9755267474,117.9,0
111.485,113.272,8.23,47.811831789,47.707293894,49.3420016808,1.1287878279,52.188168211,0.1081081081,-42.0698266027,115.58,0
112.254,113.8201818182,16.42,47.0420527441,48.9142314089,49.1044954692,0.7780212396,52.9579472559,0.5802469136,-40.8759085948,115.05,1
114.045,114.4994545455,3.37,54.3235155143,49.7258000158,49.8222021651,0.5085089418,45.6764844857,0.7582697201,-32.5702577239,115.98,0
113.483,113.2185454545,-9.57,43.3673469388,48.2443050657,45.6402973278,0.1594643448,56.6326530612,0.1326388889,-56.8750920734,107,1
112.721,112.3943636364,-3.76,60.0131176213,52.5679933581,46.685631384,-0.1903844022,39.9868823787,0.5319148936,-58.7031900387,108.96,1
112.785,112.5087272727,3.35,74.9941134919,59.458192684,49.0657085849,-0.4517641709,25.0058865081,0.88,-30.712646906,113.36,1
113.458,113.226,3.57,75.8425091758,70.283246763,50.8797856564,-0.5890357505,24.1574908242,0.9007490637,-2.610153825,117.51,1
