btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_5,ntran_value_30,trfee_value_2,hrate_2,hrate_7,class_y0
137070.45420054,120.414,121.435,50,-1.4602871749,-1.9180429636,-2.3573321061,-3.9619018306,12.459655465,117.62,126.08,54111.5698924731,35.39513493,1279.82676087,1302.02028851,1
150265.03015484,119.4,120.6683333333,58.3333333333,-0.8147340607,-0.8683736919,-1.4417673702,8.0290785079,3.5985015507,121.94,122.77,54153.2043010753,40.37392697,1538.75125006,1265.03107577,0
147322.39414353,118.39,119.7,58.3333333333,-0.8164398904,-1.2335016988,5.1498174438,1.4948984331,-0.6087046844,121.25,125.54,53741.7419354839,33.53991469,1316.81597361,1242.83754813,1
151248.73546243,117.422,119.0733333333,58.3333333333,-0.7750549517,4.1270460919,1.3495096342,0.225013676,1.0587320364,122.49,85,53153.9505376344,26.70745176,1560.94477771,1213.24617793,1
163133.87006263,121.352,118.435,66.6666666667,3.4658721149,1.2174262774,0.4237345196,0.9399541216,0.8211762068,123.5,102,52508.4838709677,21.98375278,1900.66283139,1449.97713948,1
176317.24391153,122.652,121.815,66.6666666667,1.0757059711,0.4450070762,0.7962443298,0.6650004764,0.508824746,124.5,116.48,51862.7935483871,32.99949234,1439.61095645,1279.82676087,1
195251.00517463,123.444,123.1933333333,66.6666666667,0.6391764114,0.9511466854,0.9152849017,0.9623392491,1.4158537522,125.79,121.11,51491.0494623656,16.18054086,1467.83862226,1538.75125006,1
206633.15144413,124.564,124.0033333333,75,0.9033793674,0.8645412001,0.8789961978,1.0640819238,0.7123100953,126.8,121.13,51831.8107526882,25.13904198,1721.88761458,1316.81597361,1
214499.85635236,125.542,125.0333333333,75,0.7829070189,0.7733397219,0.8615113805,0.5843401946,0.456370294,127.38,120.11,51949.3075268817,29.73024401,1834.79827783,1560.94477771,1
222071.1292156,126.438,125.9483333333,83.3333333333,0.7126569129,0.7636149546,0.546202022,0.4631479854,0.4699256768,127.58,122.17,51748.1225806452,28.46158064,1665.43228295,1900.66283139,1
234645.2770254,128.176,127.5016666667,83.3333333333,1.3533084917,1.3376721766,1.5461262036,2.0910041585,3.7120826401,132.83,122.3,51651.2989247312,32.21519984,1853.61672171,1439.61095645,1
255901.5575973,130.08,129.3833333333,91.6666666667,1.4578623801,1.6442504514,2.0402105038,2.8253529173,1.9386231945,135.43,124.9,51839.559139785,31.15736732,2154.71182371,1467.83862226,1
278133.6367099,133.272,132.1933333333,91.6666666667,2.3710771324,2.849753842,3.643029897,3.6085035255,5.2783838564,142.75,125.93,52109.7419354839,24.76312632,2427.5792599,1721.88761458,0
