btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_high_5,btc_low_5,btc_close_5,btc_vol_5,hrate_30,class_y0
46419.06564038,128.406,128.4716666667,41.6666666667,-3.7441851714,-5.9073787372,-9.7986186989,-13.4866678547,-8.8983341447,107.02,148.18,121.57,135.28,5136.5255006,70.7208763189,0
19555.50119428,120.966,123.3516666667,41.6666666667,-6.431264648,-9.4806660971,-11.8333813336,-8.7125712181,-8.5268082914,98.08,151.65,123.96,143.31,10485.462135,71.1013848479,1
35465.62927098,114.828,119.575,41.6666666667,-4.8198159249,-5.4191398092,-1.2005192241,2.6483882362,13.8235847639,112.89,144.99,133.89,139.88,8465.29718136,71.67717066,1
44499.57104881,110.166,115.1183333333,41.6666666667,-3.6458592253,-0.0385736404,2.914679861,8.6354239372,3.4472631105,116.9,140.3,104.9,116.75,21104.9021299,72.2015980772,0
27248.01543441,109.358,110.59,33.3333333333,-0.7043349659,1.3441648288,4.6344892022,0.0399414214,-3.3673802678,112.67,127.24,93.01,106.81,21725.133598,72.9690993014,0
12306.46279931,109.996,109.465,33.3333333333,0.5885762138,2.8674223401,-0.7846318011,-2.900579257,-2.4337782462,110.92,108,81.5,98.08,26863.5644461,74.1189294223,1
20568.1034418,113.012,110.5233333333,41.6666666667,2.8603854849,0.1195856652,-0.9896401499,0.199229909,2.8322380641,113.16,115.64,94,112.62,15910.1280767,74.7919519159,0
13842.39501487,112.88,112.8366666667,41.6666666667,-0.1175531036,-1.0087571571,-0.2225494536,0.8830649427,-1.0661081786,111.96,118.76,106.5,116.57,9033.94177783,75.5249653622,1
24322.53013367,113.146,113.7166666667,41.6666666667,0.2268971322,1.1254664822,2.3118813917,2.0517030555,5.1695142896,117.9,123.97,105,112.71,17251.5556144,76.2492862628,0
19630.4251668,113.612,113.4616666667,33.3333333333,0.4092349144,1.1199882045,0.5492382513,1.3569114663,-2.4556913571,115.58,112.95,98.77,110,14941.5526351,77.2031725417,0
16263.72213213,114.512,113.76,33.3333333333,0.801889144,0.294301914,0.7477719449,-1.4630992275,-0.4705070978,115.05,116.29,109.41,113.16,8261.64064249,78.2000220801,1
19675.76336655,115.078,114.7583333333,41.6666666667,0.4940246812,0.8840578962,-0.5444275683,0.4112043261,1.2929157499,115.98,113.95,109,111.96,6725.70842693,79.8530081735,0
7555.75552755,114.086,113.7316666667,41.6666666667,-0.9062566037,-2.425199327,-2.415035317,-3.3872994266,-8.0675146032,107,119.98,109.2,117.9,10480.1351188,80.2371439916,1
18470.27382235,112.296,113.23,50,-1.5789549231,-1.3597708146,-1.6561920535,-3.1307459552,1.8060226929,108.96,118.5,112.95,115.04,4692.10496687,80.5791781128,1
25986.03548492,111.958,112.4716666667,50,-0.2959903404,-0.252361151,-0.7674534513,2.8825771246,3.9591315563,113.36,117.86,113,114.5,3366.70303467,80.8048920945,1
35707.39638013,112.404,112.7533333333,50,0.3857750534,0.1589898793,2.9011580401,3.4487257137,2.9383198711,117.51,117.48,113.55,115.99,3412.04123442,81.5813627486,1
39613.62728197,112.904,113.4183333333,58.3333333333,0.4264917667,2.5499933592,2.7979835813,2.2174095938,1.4964993164,118.49,117.9,103.5,107,12120.007839,81.8231979401,0
34813.26585005,114.78,113.4833333333,58.3333333333,1.6806372953,1.6492909459,0.8793440758,-0.1501438218,-1.79678696,117.27,113,101.72,108.95,10914.5182948,82.2967586194,1
39354.57573599,116.3,115.075,58.3333333333,1.3486260818,0.6959997132,-0.0514403394,-0.8254101673,0.1459666253,117.81,113.35,108.35,113.35,7515.76166257,82.1320037063,1
43010.83045919,117.13,116.5,66.6666666667,0.7191591326,0.164368948,-0.2796745081,0.4788817178,0.8117968102,117.25,118.16,112.82,116.73,9721.36089521,82.3359842171,1
50286.43517097,117.606,117.46,66.6666666667,0.4036772046,0.1304716766,0.7728912221,1.0863535206,1.3609102309,118.45,118.55,115.99,118.49,3906.23090184,83.1386396644,1
60499.23063217,118.676,118.645,75,0.8832368203,1.5532427653,2.022334812,2.6276038129,3.8942973949,123.84,118.98,114.1,116.38,4800.36143192,83.7187922225,1
73692.81266647,121.14,120.3466666667,83.3333333333,2.0124683075,2.479093728,3.0348593673,3.8718339355,3.8493704761,128.65,118.94,114.03,116.55,4541.30988594,84.2948164057,1
78839.51786522,123.624,122.445,83.3333333333,2.0251890739,2.3285371398,2.6510794428,2.0294704667,0.2095704574,128.98,118.56,116.9,117.5,3656.2547232,85.7367292637,1
82755.58254037,126.024,124.6033333333,91.6666666667,1.9448509511,2.0908361312,1.4896823766,0.3098383269,0.4101061963,130.27,119.48,117,119.11,7275.60471178,86.6789630853,0
75341.77073471,127.452,126.0616666667,83.3333333333,1.1643326453,0.4818414579,-0.6406682149,-1.065787551,-2.5416812984,126.2,123.9,118.36,123.84,10212.7954612,88.0057839349,0
69269.01293003,127.868,127.1966666667,75,0.3331274966,-0.5459332483,-0.7977678169,-1.4017048235,-0.2617283486,125.99,129.94,122.52,128.7,13193.5820343,88.871903127,1
79215.85216728,128.198,128.2816666667,75,0.2547805155,0.2660830301,0.218075308,1.5979536112,3.457635571,130.01,129.73,126.03,128.97,5146.70519875,89.9216262747,0
69783.49603557,127.766,127.9666666667,66.6666666667,-0.3377983186,-0.5247744473,0.1475278364,0.3521559289,-2.7533237133,126.78,130.29,127.97,129.5,3916.06467515,90.9657024173,1
75417.44453171,127.448,127.79,75,-0.2470797906,0.3265705864,0.5226702314,-0.9448124384,0.8636988364,127.76,130.6,120.33,126.25,7413.81180566,92.6133233478,1
78823.92970507,127.952,127.6683333333,75,0.3952759826,0.5595270654,-0.4065091031,0.7668982019,0.6700975674,128.77,127.11,123,125.92,6072.75780468,94.6388974379,0
63685.80069307,127.368,127.1266666667,66.6666666667,-0.4692485859,-1.4509696252,-1.0168515958,-1.9571268119,-4.5843511913,123.35,130.4,125.53,130.35,9946.83923725,96.7962010447,1
72536.09292318,125.942,126.6766666667,66.6666666667,-1.1250352959,-0.7179631915,-1.2451838675,-2.202824585,0.1787020214,123.22,131,124.9,126.81,9432.35613171,99.0416928958,0
64560.2342052,124.694,125.0466666667,58.3333333333,-1.0091881224,-1.4774098621,-2.1932456719,-0.9976929122,-2.1740878457,120.58,129.87,125.06,127.91,5633.94849614,101.220507604,1
69293.26115416,123.352,124.1116666667,58.3333333333,-1.0776963595,-1.5146448413,-0.4914093912,-0.8264650976,0.5211576506,120.98,128.86,127.09,128.77,3406.48517336,105.2170262058,0
64356.28298354,121.354,122.59,50,-1.615096494,-0.8727828196,-1.2232777666,-0.7478727271,-2.0169031047,118.78,128.8,117.02,123,15138.129012,107.8509534343,0
