btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_low_30,btc_close_30,trfee_value_30,class_y0
410182.14063571,171.072,166.55,91.6666666667,5.5262174039,5.3997176926,4.4573209306,6.5085856177,5.202860384,189.74,137.38,138.1780645161,135.7834408602,141.9259569892,33.7896016301,1
434508.15539061,181.286,176.5533333333,91.6666666667,5.7641037523,5.1484026958,6.7462730755,6.2122541876,7.2216479911,203.94,135,141.9186236559,139.3990752688,146.4409677419,33.9859560981,0
378914.22838431,186.86,183.3833333333,83.3333333333,3.1040008599,3.7913031857,2.4503006305,1.0740207538,-5.0736064836,194,143.23,146.4323655914,141.020172043,150.1301075269,34.9940879374,0
346134.68547731,190.862,186.8166666667,75,2.2686316898,0.8822118994,-0.5580042621,-4.4478303887,-3.8220542938,187.5,152.44,150.130344086,143.3072258065,153.199655914,35.802374503,0
336490.36475832,190.748,188.9783333333,66.6666666667,-0.0633879704,-1.3799500591,-4.2471494091,-3.8339208719,-3.84578745,180.39,162.54,153.2578924731,146.1006451613,155.6787741935,37.0221494576,1
346585.93059242,191.598,191.29,66.6666666667,0.4430148558,-1.2516434281,0.0223442571,1.9445435325,7.734874515,194.99,166.05,155.7887096774,148.9392258065,158.971827957,37.565532735,1
358834.59515212,190.13,192.435,75,-0.733019285,0.3521275147,1.7435214509,4.5381759013,1.3414772875,196.62,179,159.1420215054,152.3882365591,162.2897204301,38.1738215234,1
375579.10164282,192.294,192.5566666667,75,1.0861761629,2.3132337771,4.3662408527,2.6819240216,4.0223707557,204,185,162.454172043,155.9852258065,165.9775483871,37.6123673924,0
350084.95357282,194.482,193.1683333333,66.6666666667,1.1394761413,2.3857920392,0.6027645472,0.2334081771,-3.5555544015,197.58,156.2,166.091655914,159.4126666667,169.0370322581,37.8074155634,1
363826.44431942,199.278,195.9916666667,66.6666666667,2.507062637,1.2001096675,1.1529871275,-0.2817046866,2.9921450284,203.54,167.67,169.1493548387,162.6912258065,172.3303010753,37.4569394164,0
